artist,song,lirik,language,genre,Label
Yura Yunita,Cinta dan Rahasia,"Terakhir kutatap mata indahmu
Di bawah bintang bintang
Terbelah hatiku
Antara cinta dan rahasia
Ku cinta padamu
Namun kau milik sahabatku
Dilema hatiku
Andai ku bisa berkata sejujurnya
Jangan kau pilih dia
Pilihlah aku yang mampu mencintamu lebih dari dia
Bukan ku ingin merebutmu dari sahabatku
Namun kau tahu
Cinta tak bisa tak bisa kau salahkan
Ku cinta padamu
Namun kau milik sahabatku
Dilema hatiku
Andai ku bisa berkata sejujurnya
Jangan kau pilih dia
Pilihlah aku yang mampu mencintamu lebih dari dia
Bukan ku ingin merebutmu dari sahabatku
Namun kau tahu
Cinta tak bisa tak bisa kau salahkan
Jangan kau pilih dia
Pilihlah aku yang mampu mencintamu lebih dari dia
Bukan ku ingin merebutmu dari sahabatku
Namun kau tahu
Cinta tak bisa tak bisa kau salahkan
Tak bisa kau salahkan
Tak bisa kau salahkan",indonesian,pop,FALSE
Kaleb J,Now I know,"Aku tak menyadari kau t'lah menaruh hati
Kepadaku yang selalu menjadi temanmu
Awalnya ku tak ingin membuka pintu hati
Tak sengaja t'lah terbuka lagi hatiku
Aku salah t'lah mengacuhkanmu
Sampai kau lelah sendiri
Dan memilih tuk pergi
Now I know how much I love you (now I know)
I'm so lost without you
When you're not by my side
Now I know how much I love you (now I know)
And now I know how much I need you
Now I realize
Yes I know it's all too late
Terlambat ku mengerti arti dirimu kasih
Bukan sekedar pengisi hari kau lain
Bahkan saat diriku belum sadar cintamu
Aku tak bisa terlalu jauh darimu
Aku salah t'lah mengacuhkanmu (salahku acuhkanmu)
Sampai kau lelah sendiri
Dan memilih tuk pergi
Now I know how much I love you (now I know)
I'm so lost without you
When you're not by my side
Now I know how much I love you (now I know)
And now I know how much I need you
Now I realize
Yes I know it's all too late
Now I know how much I love you (now I know)
I'm so lost without you
When you're not by my side
Now I know how much I love you (now I know)
And now I know how much I need you
And now it's all too late
It's all too late
Now I know how much I love you (now I know)
I'm so lost without you
When you're not by my side (when you're not by my side)
Now I know (I love you)
How much I love you (I need you)
And I miss you I know how much I need you (and now)
Now I realize
Yes I know it's all too late hm",indonesian,pop,FALSE
Azmi,Pernah,"Ada apa kau bertemu dia
Mungkinkah kau ingin bagi cintamu?
Jika memang kau bagi cintamu
Masih pantaskah kujaga hatiku?
Ingatkah semua kata yang kau ucap dulu?
Kau berjanji untuk setia
Kini kutanya ke mana janji itu kau buang?
Pernah sakit tapi tak pernah sesakit ini
Karena pernah cinta tapi tak pernah sedalam ini
Aku ingin semua cintamu hanya untukku
Memang 'ku tak rela kau bagi untuk hati yang lain
Jika memang kau bagi cintamu
Ke mana janji itu kau buang?
Ho-oo-ooo ...
Kau buat 'ku menangis tanpa air mata
Sampai kuteriak pun sudah tak ada suara
Ho-oo-ooo ...
Pernah sakit tapi tak pernah sesakit ini
Karena pernah cinta tapi tak pernah sedalam ini
Aku ingin semua cintamu hanya untukku
Memang 'ku tak rela kau bagi untuk hati yang lain
(Pernah sakit, pernah cinta)
Aku tak rela kau bagi untuk hati yang lain",indonesian,pop,FALSE
Tulus,Pamit,"Tubuh saling bersandar
Ke arah mata angin berbeda
Kau menunggu datangnya malam
Saat kumenanti fajar
Sudah coba berbagai cara
Agar kita tetap bersama
Yang tersisa dari kisah ini
Hanya kau takut kuhilang
Perdebatan apapun menuju kata pisah
Jangan paksakan genggamanmu
Izinkan aku pergi dulu
Yang berubah hanya
Tak lagi kumilikmu
Kau masih bisa melihatku
Kau harus percaya
Kutetap teman baikmu
Sudah coba berbagai cara
Agar kita tetap bersama
Yang tersisa dari kisah ini
Hanya kau takut kuhilang
Perdebatan apapun menuju kata pisah
Jangan paksakan genggamanmu
Yang berubah hanya
Tak lagi kumilikmu
Kau harus percaya
Kutetap teman baikmu
Izinkan aku pergi dulu
Yang berubah hanya
Tak lagi kumilikmu
Kau masih bisa melihatku
Kau harus percaya
Kutetap teman baikmu",indonesian,pop,FALSE
Sheila on 7,Anugerah Terindah,"Melihat tawamu
Mendengar senandungmu
Terlihat jelas dimataku
Warna - warna indahmu
Menatap langkahmu
Meratapi kisah hidupmu
Terlihat jelas bahwa hatimu
Anugerah terindah yang pernah kumiliki
Sifatmu nan s'lalu
Redakan ambisiku
Tepikan khilafku
Dari bunga yang layu
Saat kau disisiku
Kembali dunia ceria
Tegaskan bahwa kamu
Anugerah terindah yang pernah kumiliki
Belai lembut jarimu
Sejuk tatap wajahmu
Hangat peluk janjimu
Anugrah terindah yang pernah ku miliki",indonesian,pop,FALSE
Eclat Story,Bentuk Cinta,"Aku tak tau apa yang lain
Darimu hari ini
Apa itu karena sepatu flatmu
Atau kukumu yang baru kau warnai
Pernahkah kau bertanya
Seperti apa bentuk air tanpa wadah
Pernah pernahkah kau mengira
Seperti apa bentuk cinta
Rambut warna warni bagai gulali
Imut lucu walau tak terlalu tinggi
Pipi chuby dan kulit putih
Senyum manis gigi kelinci
Membuatku tersadar bentuk cinta itu
Ya kamu
Kini ku tau apa yang lain
Darimu hari ini
Itu bukan karena sepatu flatmu
Atau kukumu yang baru kau warnai
Pernahkah kau bertanya
Seperti apa bentuk air tanpa wadah
Pernah pernahkah kau mengira
Seperti apa bentuk cinta
Rambut warna warni bagai gulali
Imut lucu walau tak terlalu tinggi
Pipi chuby dan kulit putih
Senyum manis gigi kelinci
Membuatku tersadar bentuk cinta itu
Ya kamu
Oh oh
Pernahkah kau bertanya
Seperti apa bentuk air tanpa wadah
Pernah pernahkah kau mengira
Seperti apa bentuk cinta oh
Rambut warna warni bagai gulali
Imut lucu walau tak terlalu tinggi
Pipi chuby dan kulit putih
Senyum manis gigi kelinci yeah
Rambut warna warni bagai gulali
Imut lucu walau tak terlalu tinggi
Pipi chuby dan kulit putih
Senyum manis gigi kelinci
Membuatku tersadar bentuk cinta itu
Ya kamu hu oh
Cuma dirimu hu
Untuku bentuk cinta itu kamu
Oh ya kamu",indonesian,pop,FALSE
Glenn Fredly,Januari,"Berat bebanku
Meninggalkanmu
Separuh nafas jiwaku sirna
Bukan salahmu
Apa dayaku
Mungkin benar cinta sejati tak berpihak pada kita
Kasihku
Sampai disini kisah kita
Jangan tangisi keadaannya
Bukan karena kita berbeda
Dengarkan
Dengarkan lagu lagu ini
Melodi rintihan hati ini
Kisah kita
Berakhir di Januari
Selamat tinggal kisah sejatiku
Wow pergilah
Kasihku
Sampai disini kisah kita
Jangan tangisi keadaannya
Bukan karena kita berbeda wow
Dengarkan lagu lagu ini
Melodi rintihan hati ini
Kisah kita berakhir di januari (wow ye he oh)
Dengarkan lagu lagu ini
Melodi rintihan hati ini
Kisah kita berakhir wow
Berakhir
Berakhir di januari (hu)
Berakhir di januari",indonesian,pop,FALSE
Kunto Aji,Rehat,"Serah serahkan apa
Masih terjalin suaramu terdengar
Masilahnya rindang bergema
Di ruang-ruang hatimu
Tenangkan hati
Semua ini bukan salahmu
Jangan berhenti
Yang kau takutkan takkan terjadi
Yang dicari hilang
Yang dikejar lari
Yang ditunggu
Yang diharap
Biarkanlah semeta bekerja
Untukmu
Tenangkan hati
Semua ini bukan salahmu
Jangan berhenti
Yang kau takutkan takkan terjadi
Kita coba lagi
Untuk lari berlari
Kita coba lagi
Yang ditunggu
Yang diharap
Biarkanlah semeta bekerja
Untukmu
Tenangkan hati
Semua ini bukan salahmu
Terus berlari
Yang kau takutkan takkan terjadi",indonesian,indie,FALSE
Nadin Amizah,Bertaut,"Bun, hidup berjalan seperti bajingan
Seperti landak yang tak punya teman
Ia menggonggong bak suara hujan
Dan kau pangeranku, mengambil peran
Bun, kalau saat hancur ku disayang
Apalagi saat ku jadi juara
Saat tak tahu arah kau di sana
Menjadi gagah saat ku tak bisa
Sedikit kujelaskan tentangku dan kamu
Agar seisi dunia tahu
Keras kepalaku sama denganmu
Caraku marah, caraku tersenyum
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu
Aku masih ada sampai di sini
Melihatmu kuat setengah mati
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu
Bun, aku masih tak mengerti banyak hal
Semuanya berenang di kepala
Dan kau dan semua yang kau tahu tentangnya
Menjadi jawab saat ku bertanya
Sedikit kujelaskan tentangku dan kamu
Agar seisi dunia tahu
Keras kepalaku sama denganmu
Caraku marah, caraku tersenyum
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu
Aku masih ada sampai di sini
Melihatmu kuat setengah mati
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu
Semoga lama hidupmu di sini
Melihatku berjuang sampai akhir
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu",indonesian,indie,TRUE
Nadin Amizah,Rumpang,"Pagi tadi aku masih menangis
Ada rasa yang tak kunjung mati
Ada seseorang di atasku
Menahan semua rasa malu
Sempat ku berpikir masih bermimpi
24/7 tanpa henti
Matahari dan bulan saksinya
Ada rasa yang tak mau hilang
Aku takut sepi tapi yang lain tak berarti
Katanya mimpiku 'kan terwujud
Mereka lupa tentang mimpi buruk
Tentang kata maaf, sayang aku harus pergi
Sudah kuucap semua pinta
Sebelum ku memejamkan mata
Tapi selalu saja kamu tetap harus pergi
Sempat ku berpikir masih bermimpi
Bertahun berlanjut tanpa henti
Kulitmu yang memudar saksinya
Tetap rasaku tak pernah hilang
Aku takut sepi tapi yang lain tak berarti
Katanya mimpiku 'kan terwujud
Mereka lupa tentang mimpi buruk
Tentang kata maaf, sayang aku harus pergi
Sudah kuucap semua pinta
Sebelum ku memejamkan mata
Tapi selalu saja kamu tetap harus pergi
Banyak yang tak ku ahli
Begitu pula menyambutmu pergi
Banyak yang tak ku ahli
Begitu pula menyambutmu pergi
Banyak yang tak ku ahli
Begitu pula menyambutmu tak kembali
Katanya, mimpiku, akan terwujud
Mereka, berbohong, mimpiku tetap semu",indonesian,indie,FALSE
Nadin Amizah,Sorai,"Langit dan laut saling membantu
Mencipta awan hujan pun turun
Ketika dunia saling membantu
Lihat cinta mana yang tak jadi satu
Kau memang manusia sedikit kata
Bolehkah aku yang berbicara
Kau memang manusia tak kasat rasa
Biar aku yang mengemban cinta
Awan dan alam saling bersentuh (bersentuh)
Mencipta hangat kau pun tersenyum
Ketika itu kulihat syahdu
Lihat hati mana yang tak akan jatuh
Kau memang manusia sedikit kata
Bolehkah aku yang berbicara
Kau memang manusia tak kasat rasa
Biar aku yang mengemban cinta
Kau dan aku saling membantu
Membasuh hati yang pernah pilu
Mungkin akhirnya tak jadi satu
Namun bersorai pernah bertemu",indonesian,indie,FALSE
